DSC,adjacentSourcePeerName,adjacentSourceRealmName,appId,condition,consequence,description,destHost,destRealm,dscRuleGroup,id,priority,ruleType,srcHost,srcRealm
HKG,*,*,16777251,1,RET := 0,White List for CMCC-DEA1 to Rogers-DEA2,*,epc.mnc370.mcc302.3gppnetwork.org,AP PoP,132,10,REQUEST_FILTER,*,epc.mnc000.mcc460.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White Lsit for CMCC-DEA2 to Rogers-DEA1,*,epc.mnc720.mcc302.3gppnetwork.org,AP PoP,133,10,REQUEST_FILTER,*,epc.mnc002.mcc460.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for CMCC-DEA2 to Rogers-DEA2,*,epc.mnc370.mcc302.3gppnetwork.org,AP PoP,134,10,REQUEST_FILTER,*,epc.mnc002.mcc460.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for CMCC-DEA3 to Rogers-DEA1,*,epc.mnc720.mcc302.3gppnetwork.org,AP PoP,135,10,REQUEST_FILTER,*,epc.mnc007.mcc460.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for CMCC-DEA3 to Rogers-DEA2,*,epc.mnc370.mcc302.3gppnetwork.org,AP PoP,136,10,REQUEST_FILTER,*,epc.mnc007.mcc460.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for Rogers-DEA2 to CMCC-DEA1,*,epc.mnc000.mcc460.3gppnetwork.org,AP PoP,137,10,REQUEST_FILTER,*,epc.mnc370.mcc302.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for Rogers-DEA1 to CMCC-DEA1,*,epc.mnc000.mcc460.3gppnetwork.org,AP PoP,138,10,REQUEST_FILTER,*,epc.mnc720.mcc302.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for Rogers-DEA1 to CMCC-DEA2,*,epc.mnc002.mcc460.3gppnetwork.org,AP PoP,139,10,REQUEST_FILTER,*,epc.mnc720.mcc302.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for Rogers-DEA2 to CMCC-DEA2,*,epc.mnc002.mcc460.3gppnetwork.org,AP PoP,140,10,REQUEST_FILTER,*,epc.mnc370.mcc302.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for Rogers-DEA1 to CMCC-DEA3,*,epc.mnc007.mcc460.3gppnetwork.org,AP PoP,141,10,REQUEST_FILTER,*,epc.mnc720.mcc302.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for Rogers-DEA2 to CMCC-DEA3,*,epc.mnc007.mcc460.3gppnetwork.org,AP PoP,142,10,REQUEST_FILTER,*,epc.mnc370.mcc302.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for AT&T-Jaspers-DEA1 to FET,*,epc.mnc001.mcc466.3gppnetwork.org,AP PoP,145,10,REQUEST_FILTER,*,epc.mnc150.mcc310.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for AT&T-Jaspers-DEA2 to FET,*,epc.mnc001.mcc466.3gppnetwork.org,AP PoP,146,10,REQUEST_FILTER,*,epc.mnc170.mcc310.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for CU to AT&T-Jaspers-DEA2,*,epc.mnc170.mcc310.3gppnetwork.org,AP PoP,148,10,REQUEST_FILTER,*,epc.mnc001.mcc460.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for CU to AT&T-DEA3,*,epc.mnc410.mcc310.3gppnetwork.org,AP PoP,149,10,REQUEST_FILTER,*,epc.mnc001.mcc460.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for AT&T-Jaspers-DEA2 to CU,*,epc.mnc001.mcc460.3gppnetwork.org,AP PoP,151,10,REQUEST_FILTER,*,epc.mnc170.mcc310.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for AT&T-DEA3 to CU,*,epc.mnc001.mcc460.3gppnetwork.org,AP PoP,152,10,REQUEST_FILTER,*,epc.mnc410.mcc310.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for FET to HK-Hutchison,*,epc.mnc003.mcc454.3gppnetwork.org,AP PoP,153,10,REQUEST_FILTER,*,epc.mnc001.mcc466.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for HK-Hutchison to FET,*,epc.mnc001.mcc466.3gppnetwork.org,AP PoP,154,10,REQUEST_FILTER,*,epc.mnc003.mcc454.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for FET to MTS-Russia,*,epc.mnc001.mcc250.3gppnetwork.org,AP PoP,155,10,REQUEST_FILTER,*,epc.mnc001.mcc466.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for MTS-Russia to FET,*,epc.mnc001.mcc466.3gppnetwork.org,AP PoP,156,10,REQUEST_FILTER,*,epc.mnc001.mcc250.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for FET to AT&T-Jaspers-DEA1,*,epc.mnc150.mcc310.3gppnetwork.org,AP PoP,177,10,REQUEST_FILTER,*,epc.mnc001.mcc466.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for FET to AT&T-Jaspers-DEA2,*,epc.mnc170.mcc310.3gppnetwork.org,AP PoP,178,10,REQUEST_FILTER,*,epc.mnc001.mcc466.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for FET to TIM-Brazil,*,epc.mnc002.mcc724.3gppnetwork.org,AP PoP,179,10,REQUEST_FILTER,*,epc.mnc001.mcc466.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for TIM-Brazil to FET,*,epc.mnc001.mcc466.3gppnetwork.org,AP PoP,180,10,REQUEST_FILTER,*,epc.mnc002.mcc724.3gppnetwork.org
