name,MCCMNC,ChineseName,TADIG,DRAIMSIPrefix
Vodafone Italy,22210,,ITAOM
Vodafone Malta,27801;27801;90128;90128;90119;90119,,MLTTL
Vodafone Mobile NZ Limited,53001,,NZLBS
Vodafone Netherlands,20404,,NLDLT
Vodafone Portugal,26801,,PRTTL
Vodafone Qatar Q.S.C.,42702,,QATB1
Vodafone Romania,22601,,ROMMF
Vodafone Spain,21401;21406,,ESPAT
Vodafone Spain MVNO,,,ESPVV
Vodafone Turkey,28602,,TURTS
Vodafone UK,23415,,GBRVF
Vodafone US For Life,999999,,
Wana Corporate,60402,,MARM3
Warid Telecom Pakistan,41007;41007,,PAKWA
Warid Uganda,64122;64122;64101;64101,,UGAWT
Wataniya Algeria,60303,,DZAWT
Wataniya Maldives,47202,,MDVWM
Wataniya Palestine,42506,,
Wavely,23842,,XXXYY
Webbing Hong Kong Limited,45435,,HKG35
West Central Cellular,310180,,USAWC
Wightman,302940,,CANWT
Wind Greece,20210;20210,,GRCSH
Wind Italy,22288,,ITAWI
Wireless Partners,312710,,USAGW
Worldcall,310990,,USAEZ
Xfera,21404;21423,,ESPXF
Xplornet,302130,,
Yesss Austria,23212,,AUTON
YTL Communication,502152,,MYSYC
Zain Bahrain,42602,,BHRMV
Zain Jordan(JMTS),41601,,JORFL
Zain Kuwait,41902,,KWTMT
Zain Saudi Arabia,42004,,SAUZN
Zain Sudan,63401,,SUDMO
