name,MCCMNC,ChineseName,TADIG,DRAIMSIPrefix
A1 Slovenia,29340,,SVNSM
IDEA,405846;40478;40414;405853;405799;40456;40407;405850;40570;40424;40404;405849;40487;40422;405846;40482;40414;405853;405845;40456;40412;405852;40570;40444;40404;405850;40489;40422;405848;40487;40419;405846;40478;40414;405853;405799;40456;40407;405850;40570;40424;40404;405849;40487;40422;405846;40482;40414;405845;40456;40412;405852;405799;40444;40404;405850;40489;40424;405848;40487;40419;40419;405846;40478;40414;405853;405799;40456;40407;405850;40570;40424;40404;405849;40487;40422;405846;40482;40414;405845;40456;40412;405852;405799;40444;40404;405850;40489;40424;405848;40487;40487;40419;405846;40478;40414;405853;405799;40456;40407;405850;40570;40424;40404;405849;40487;40422;405848;40482;40414;405845;40478;40412;405852;405799;40444;40407;405850;40489;40424;405848;405848;40487;40419;405846;40478;40414;405853;405799;40456;40407;405850;40570;40424;40404;405849;40487;40422;405848;40482;40414;405845;40478;40412;405852;405799;40444;40407;405850;40489;40424;405848;40487;40419;405846;40478;40414;405853;405799;40456;40407,,INDE1;INDE
Indigo Wireless,311030;31130,,USAIN
Indosat - M3,51001;51021,,IDNSL
Inland Cellular,310580,,
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,71201,,CRICR
Iowa Wireless,310770,,USAIW
IPKO Telecommunications LLC,22102,,K0001
iSmart Mobile,310300,,USAMI
IT&E,310110,,
Iusacell,334090;334070;90144;334070;90144;334070;90144;334070;334070;334070;334050;334050;334050;334090;334090;334050;334090;334050;90144;334050;90144;334090;90144;334090,,RSB05;MEXIU
Jasper Wireless,310150;310150;310150;310170;310170;310170,,INTJS
Jersey Airtel,23403,,GBRAJ
Jersey Telecom,23450,,GBRJT
JVT,310920,,
K-Mobile-GSM Mobile network Kazakhstan,40101,,KAZKT
K-Telecom,28305,,ARM05
Kcell,40102,,KAZKZ
KDDI,44050;44050;44051;44051;44054;44054,,JPNXX
KPN Mobile The Netherlands BV,20408;20412,,NLDPT
KT Corporation,45008,,KORKF
KTC Kuwait (VIVA),41904,,KWTKT
Kyivstar,25503;25502,,UKRKS
LAB-DSC,,,
Latvian Mobile Telephone,24701,,LVALM
LG U Plus,45006;45003,,KORLU
Libertis Telecom,62801,,GAB01
Libyana Mobile Phone ,60600,,LBYLM
Life Ukraine,25506,,UKRAS
Limitless Mobile,23453,,
Limitless Mobile USA,310690;312180;310340;311600,,USACW
LLC KTKTELEKOM,,,
Lyca peering hub,,,
Lycamobile Ireland,27213,,
Lycamobile Sweden,24012,,
Lycamobile Switzerland,22854,,
Lycamobile UK,23426;23499,,
M1 Limited,52503,,SGPM1
