key,value
epc.mnc003.mcc736.3gppnetwork.org,7269#Telecel-Bolivia
epc.mnc082.mcc404.3gppnetwork.org,7264#IDEA
epc.mnc003.mcc724.3gppnetwork.org,6579#TIM-Brazil
epc.mnc007.mcc410.3gppnetwork.org,7100#Warid-Telecom-Pakistan
epc.mnc005.mcc226.3gppnetwork.org,12526#RCS--RDS
epc.mnc003.mcc706.3gppnetwork.org,12500#TigoTelemovil)-El-Salvador
antel.lte.com,6624#Antel
epc.mnc006.mcc268.3gppnetwork.org,6535#MEO
epc.mnc300.mcc710.3gppnetwork.org,7281#Telefonica-Celular-Nicaragua
epc.mnc005.mcc214.3gppnetwork.org,6581#TM-Spain
epc.mnc001.mcc270.3gppnetwork.org,6840#EPT-Luxembourg
epc.mnc010.mcc280.3gppnetwork.org,7402#MTN-Cyprus
epc.mnc005.mcc202.3gppnetwork.org,6739#Vodafone-Greece
epc.mnc010.mcc283.3gppnetwork.org,7437#Orange-Armenia
epc.mnc058.mcc234.3gppnetwork.org,7330#Manx-Telecom
epc.mnc005.mcc244.3gppnetwork.org,6934#Elisa
epc.mnc001.mcc602.3gppnetwork.org,7433#Mobinil
epc.mnc008.mcc311.3gppnetwork.org,6901#Pine-Telephone
epc.mnc001.mcc470.3gppnetwork.org,12564#Grameen-Phone
epc.mnc099.mcc250.3gppnetwork.org,6870#Vimpelcom-Russia
epc.mnc090.mcc404.3gppnetwork.org,7013#Bharti-Airtel-India
epc.mnc005.mcc247.3gppnetwork.org,7092#BITE-Latvia
epc.mnc001.mcc428.3gppnetwork.org,12739#SkyTel-Mongolia
epc.mnc002.mcc708.3gppnetwork.org,7430#Tigo-Honduras
dramun1.epc.mnc001.mcc748.3gppnetwork.or,6624#Antel
epc.mnc001.mcc605.3gppnetwork.org,7277#Orange-Tunisia
EPC.MNC010.MCC716.3GPPNETWORK.ORG,6811#Claro-Peru
epc.mnc002.mcc282.3gppnetwork.org,7358#MagtiCom
epc.mnc026.mcc234.3gppnetwork.org,6534#Lycamobile-UK
epc.mnc016.mcc502.3gppnetwork.org,7045#DiGi
epc.mnc001.mcc608.3gppnetwork.org,7493#SONATEL
epc.mnc003.mcc603.3gppnetwork.org,7495#Wataniya-Algeria
epc.mnc097.mcc404.3gppnetwork.org,7013#Bharti-Airtel-India
epc.mnc110.mcc544.3gppnetwork.org,12532#SamoaTel-Samoa
epc.mnc010.mcc650.3gppnetwork.org,12730#Celtel-Malawi
epc.mnc868.mcc405.3gppnetwork.org,7083#Reliance-Jio
epc.mnc097.mcc466.3gppnetwork.org,6595#Taiwan-Mobile
epc.mnc002.mcc400.3gppnetwork.org,6948#BAKCELL-Ltd
epc.mnc001.mcc525.3gppnetwork.org,6124#SingTel-Mobile
epc.mnc012.mcc232.3gppnetwork.org,12498#Yesss-Austria
epc.mnc170.mcc311.3gppnetwork.org,7512#Tampnet
epc.mnc004.mcc640.3gppnetwork.org,7350#Vodacom-Tanzania
epc.mnc002.mcc363.3gppnetwork.com,12555#Digicel-Aruba
ipx.oteglobe.3gppnetwork.org,7012#OTEGlobe-GRX
uscsim.globetouch.com,7069#Globetouch-US
epc.mnnc003.mcc470.3gppnetwork.org,12607#Banglalink
epc.mnc004.mcc631.3gppnetwork.org,12511#Movicel-Angola
epc.mnc020.mcc280.3gppnetwork.org,7034#PrimeTel-Cyprus
epc.mnc853.mcc405.3gppnetwork.org,7264#IDEA
epc.mnc001.mcc437.3gppnetwork.org,7442#Sky-Mobile
epc.mnc002.mcc429.3gppnetwork.org,7436#Spice-Nepal-Private
epc.mnc089.mcc466.3gppnetwork.org,6668#Taiwan-Star
epc.mnc001.mcc425.3gppnetwork.org,6701#Partner-Communications
epc.mnc043.mcc901.3gppnetwork.org,12504#EMnify-GmbH
epc.mnc005.mcc452.3gppnetwork.org,7464#Hanoi-Telecom
epc.mnc340.mcc302.3gppnetwork.org,7458#Execulink-Telecom
epc.mnc920.mcc344.3gppnetwork.org,7056#CWWI-Antigua
acsalaska.net,6913#Alaska-Wireless-Network
epc.mnc002.mcc426.3gppnetwork.org,12496#Zain-Bahrain
epc.mnc004.mcc646.3gppnetwork.org,7389#Telma-Mobile
epc.mnc340.mcc311.3gppnetwork.org,6902#NewCore-Wireless
mme.epc.mnc053.mcc405.3gppnetwork.org,7013#Bharti-Airtel-India
epc.mnc861.mcc405.3gppnetwork.org,7083#Reliance-Jio
epc.mnc001.mcc505.3gppnetwork.org,6219#Telstra
epc.mnc005.mcc541.3gppnetwork.org,6956#Digicel-Vanuatu-Ltd
epc.mnc103.mcc732.3gppnetwork.org,6714#Colombia-Movil
epc.mnc003.mcc404.3gppnetwork.org,7013#Bharti-Airtel-India
epc.mnc003.mcc268.3gppnetwork.org,6620#Optimus
epc.mnc015.mcc234.3gppnetwork.org,6736#Vodafone-UK
epc.mnc110.mcc358.3gppnetwork.org,7070#Cable-and-Wireless-Group
epc.mnc089.mcc510.3gppnetwork.org,7470#Hutchison-Indonesia
4g.westcentral.com,7302#West-Central-Cellular
epc.mnc012.mcc244.3gppnetwork.org,7125#Finnet-Networks
epc.mnc020.mcc206.3gppnetwork.org,6857#BASE-NV-SA
epc.mnc002.mcc370.3gppnetwork.org,6912#Compania-Dominicana
epc.mnc003.mcc639.3gppnetwork.org,12621#Airtel-Networks-Kenya
vodafone.com.qa,6761#Vodafone-Qatar
epc.mnc010.mcc748.3gppnetwork.org,7099#CTI
epc.mnc857.mcc405.3gppnetwork.org,7083#Reliance-Jio
epc.mnc006.mcc724.3gppnetwork.org,6363#Vivo
epc.mnc001.mcc410.3gppnetwork.org,7100#Warid-Telecom-Pakistan
epc.mnc005.mcc520.3gppnetwork.org,6867#dtac-TriNet
epc.mnc001.mcc416.3gppnetwork.org,7113#Zain-JordanJMTS
epc.mnc001.mcc232.3gppnetwork.org,6731#A1-Telekom-Austria
epc.mnc001.mcc413.3gppnetwork.org,6910#Mobitel-Sri-Lanka
epc.mnc002.mcc456.3gppnetwork.org,6810#Smart-Axiata
epc.mnc290.mcc312.3gppnetwork.org,7378#Strata-Network-USA
epc.mnc003.mcc262.3gppnetwork.org,6533#Telefonica-O2-Germany
epc.mnc003.mcc617.3gppnetwork.org.key2roam.comfone.com,Mahanagar-Telephone-Mauritius
epc.mnc039.mcc901.3gppnetwork.org,7288#MTX-Connect
epc.mnc050.mcc334.3gppnetwork.org,7031#Iusacell
dra18.mtt.grx,6848#MTT-Peering-Hub
epc.mnc003.mcc612.3gppnetwork.org,7431#Orange-Ivory-Coast
epc.mnc010.mcc724.3gppnetwork.org,6363#Vivo
epc.mnc000.mcc604.3gppnetwork.org,6949#Meditel
epc.mnc990.mcc311.3gppnetwork.org,"12616#Vermont-Telephone-Company,-Inc"
epc.mnc001.mcc226.3gppnetwork.org,6713#Vodafone-Romania
epc.mnc001.mcc214.3gppnetwork.org,6711#Vodafone-Spain
epc.mnc080.mcc311.3gppnetwork.org,6901#Pine-Telephone
epc.mnc003.mcc286.3gppnetwork.org,7086#Avea
epc.mnc040.mcc404.3gppnetwork.org,7013#Bharti-Airtel-India
epc.mnc001.mcc238.3gppnetwork.org,6947#TDC-Mobil-AS
epc.mnc152.mcc502.3gppnetwork.org,7335#YTL-Communication
epc.mnc010.mcc635.3gppnetwork.org,12659#MTN-Rwanda
epc.mnc002.mcc744.3gppnetwork.org,7413#Claro-Paraguay
epc.mnc012.mcc208.3gppnetwork.org,7369#Hewlett-Packard-Frech
EPC.MNC003.MCC284.3GPPNETWORK.ORG,7298#BTC-Bulgaria
epc.mnc004.mcc204.3gppnetwork.org,6712#Vodafone-Netherlands
epc.mnc001.mcc220.3gppnetwork.org,7074#Telenor-Serbia
epc.mnc940.mcc302.3gppnetwork.org,7459#Wightman
epc.mnc001.mcc202.3gppnetwork.org,6897#COSMOTE-Mobile
epc.mnc054.mcc228.3gppnetwork.org,6698#Lycamobile-Switzerland
epc.mnc014.mcc404.3gppnetwork.org,7264#IDEA
epc.mnc001.mcc208.3gppnetwork.org,6541#Orange-France
epc.mnc024.mcc530.3gppnetwork.org,12656#Two-Degrees-Mobile-Limited
epc.mnc002.mcc652.3gppnetwork.org,7394#Orange-Botswana
epc.mnc001.mcc466.3gppnetwork.org,6556#FarEasTone
epc.mnc002.mcc427.3gppnetwork.org,6761#Vodafone-Qatar-Q-S-C-
bgclte.com,7055#Bluegrass-Cellular-LLC
epc.mnc003.mcc419.3gppnetwork.org,6866#Ooredoo-Kuwait
epc.mnc002.mcc230.3gppnetwork.org,7063#O2-Czech-Republic
epc.mnc003.mcc704.3gppnetwork.org,7066#TM-Guatemala
epc.mnc480.mcc302.3gppnetwork.org,12596#SSi-Micro-LTD
epc.mnc004.mcc370.3gppnetwork.org,12531#Trilogy-Dominicana
epc.mnc002.mcc740.3gppnetwork.org,12554#CNT-EP
epc.mnc004.mcc214.3gppnetwork.org,6896#Xfera
epc.mnc046.mcc901.3gppnetwork.org,12580#Telecom26
epc.mnc001.mcc401.3gppnetwork.org,7384#K-Mobile-Kazakhstan
comfone.com,6917#Comfone/Infonet-Peer
epc.mnc003.mcc416.3gppnetwork.org,7275#Umniah
epc.mnc054.mcc405.3gppnetwork.org,7013#Bharti-Airtel-India
epc.mnc002.mcc424.3gppnetwork.org,6617#ETISALAT-UAE
epc.mnc004.mcc724.3gppnetwork.org,6579#TIM-Brazil
epc.mnc001.mcc247.3gppnetwork.org,6839#Latvian-Mobile-Telephone
epc.mnc001.mcc216.3gppnetwork.org,6871#Telenor-Hungary
epc.mnc270.mcc240.3gppnetwork.org,7068#Globetouch-Sweden
epc.mnc050.mcc412.3gppnetwork.org,12579#Etisalat-Afghanistan
epc.mnc001.mcc219.3gppnetwork.org,6941#Croatian-Telecom-Inc
