name,id,item,value
Telefonica Chile,6622,DRAIMSIPrefix,73002
FranceTelecom Peering Hub,6570,CustomerNodeRealm,dea.orange-multimedia.net
Syniverse Peering Hub,6471,DRACustomerRealmName,syniverse.com
Vodafone India (Essar),7271,DRACustomerRealmName,epc.mnc030.mcc404.3gppnetwork.org
Vodafone India (Essar),7271,DRACustomerRealmName,epc.mnc020.mcc404.3gppnetwork.org
Vodafone India (Essar),7271,DRACustomerRealmName,epc.mnc027.mcc404.3gppnetwork.org
Vodafone India (Essar),7271,DRACustomerRealmName,epc.mnc043.mcc404.3gppnetwork.org
Vodafone India (Essar),7271,DRACustomerRealmName,epc.mnc046.mcc404.3gppnetwork.org
Vodafone India (Essar),7271,DRACustomerRealmName,epc.mnc011.mcc404.3gppnetwork.org
Vodafone India (Essar),7271,DRACustomerRealmName,epc.mnc005.mcc404.3gppnetwork.org
Vodafone India (Essar),7271,DRAIMSIPrefix,40430
Vodafone India (Essar),7271,DRAIMSIPrefix,40420
Vodafone India (Essar),7271,DRAIMSIPrefix,40427
Vodafone India (Essar),7271,DRAIMSIPrefix,40443
Vodafone India (Essar),7271,DRAIMSIPrefix,40446
Vodafone India (Essar),7271,DRAIMSIPrefix,40411
Vodafone India (Essar),7271,DRAIMSIPrefix,40405
Globe,6123,DRACustomerRealmname,epc.mnc002.mcc515.3gppnetwork.org
Globe,6123,DRAIMSIPrefix,51502
Hutchison 3G Hong Kong,6358,DRACustomerRealmName,epc.mnc003.mcc454.3gppnetwork.org
Hutchison 3G Hong Kong,6358,DRAIMSIPrefix,45403
Hutchison 3G Hong Kong,6358,DRAIMSIPrefix,45404
SmarTone Macau,7104,DRACustomerRealmName,epc.mnc000.mcc455.3gppnetwork.org
SmarTone Macau,7104,DRAIMSIPrefix,45500
Celcom,6502,DRACustomerRealmName,epc.mnc019.mcc502.3gppnetwork.org
Celcom,6502,DRAIMSIPrefix,50219
Celcom,6502,DRAIMSIPrefix,50213
Sybase Peering Hub,7492,CustomerNodeRealm,sybase.ipx
OTEGlobe GRX Peer,7012,CustomerNodeRealm,ipx.oteglobe.3gppnetwork.org
Tele2 Sweden,6723,CustomerNodeRealm,mnc007.mcc240.3gppnetwork.org
Tele2 Sweden,6723,DRACustomerRealmName,epc.mnc007.mcc240.3gppnetwork.org
Tele2 Sweden,6723,DRAIMSIPrefix,24007
Telenor Hungary,6871,DRACustomerRealmName,epc.mnc001.mcc216.3gppnetwork.org
Telenor Hungary,6871,DRAIMSIPrefix,21601
T-Mobile USA Inc,6648,DRACustomerRealmName,epc.mnc260.mcc310.3gppnetwork.org
