display_name,name,realm,remote_ip,remote_pip,attempt_connect,maxActive,disabled,peer_test_mode,peer_mtu,local_port_range_1,local_port_range_2,local_port_range_3,local_port_range_4,local_port_range_5,local_port_range_6,local_port_range_7,local_port_range_8,MaxInboundStreams,MaxOutboundStreams
OOREDOO_MM-HSSFENP1301-HSS,aaa://hssfenp1301.epc.mnc005.mcc414.3gppnetwork.org:3868;transport=sctp,epc.mnc005.mcc414.3gppnetwork.org,"43.224.87.185,43.224.87.186","10.32.147.2,10.32.147.18",true,1,false,true,1500,17142,,,,,,,,32,32
OOREDOO_MM-HSSFEYA1101-HSS,aaa://hssfeya1101.epc.mnc005.mcc414.3gppnetwork.org:3868;transport=sctp,epc.mnc005.mcc414.3gppnetwork.org,"43.224.87.181,43.224.87.182","10.32.14.2,10.32.14.18",true,1,false,true,1500,17140,,,,,,,,32,32
OOREDOO_MM-SGSNYA103-MME,aaa://mmec00d8.mmegi8000.epc.mnc005.mcc414.3gppnetwork.org;transport=sctp,epc.mnc005.mcc414.3gppnetwork.org,"43.224.87.175,43.224.87.176","10.32.3.65,10.32.3.81",false,1,false,false,1500,,,,,,,,,,
OOREDOO_MM-SGSNMA102-MME,aaa://mmec00e0.mmegi8000.epc.mnc005.mcc414.3gppnetwork.org;transport=sctp,epc.mnc005.mcc414.3gppnetwork.org,"43.224.87.179,43.224.87.180","10.32.67.65,10.32.67.81",false,1,false,true,1500,,,,,,,,,,
OOREDOO_MM-SGSNYA102-MME,aaa://mmec00c8.mmegi8000.epc.mnc005.mcc414.3gppnetwork.org;transport=sctp,epc.mnc005.mcc414.3gppnetwork.org,"43.224.87.173,43.224.87.174","10.32.3.97,10.32.3.113",false,1,false,true,1500,,,,,,,,,,
OOREDOO_MM-SGSNMA101-MME,aaa://mmec00d0.mmegi8000.epc.mnc005.mcc414.3gppnetwork.org;transport=sctp,epc.mnc005.mcc414.3gppnetwork.org,"43.224.87.177,43.224.87.178","10.32.67.97,10.32.67.113",false,1,false,true,1500,,,,,,,,,,
OoredooKW-HQ-HSS,aaa://hssh01.epc.mnc003.mcc419.3gppnetwork.org;transport=sctp,epc.mnc003.mcc419.3gppnetwork.org,"78.89.189.174,78.89.189.178",,false,1,false,false,1500,,,,,,,,,,
OoredooKW-SBA-HSS,aaa://hsss01.epc.mnc003.mcc419.3gppnetwork.org;transport=sctp,epc.mnc003.mcc419.3gppnetwork.org,"78.89.189.182,78.89.189.186",,false,1,false,false,1500,,,,,,,,,,
OoredooKW-TEC-MME,aaa://mmec18.mmegi8002.mme.epc.mnc003.mcc419.3gppnetwork.org;transport=sctp,epc.mnc003.mcc419.3gppnetwork.org,"78.89.189.132,78.89.189.133",,false,1,false,true,1500,,,,,,,,,,
OoredooKW-SBA-MME,aaa://mmec20.mmegi8002.mme.epc.mnc003.mcc419.3gppnetwork.org;transport=sctp,epc.mnc003.mcc419.3gppnetwork.org,"78.89.189.134,78.89.189.135",,false,1,false,false,1500,,,,,,,,,,
