display_name,name,realm,remote_ip,remote_pip,attempt_connect,maxActive,disabled,peer_test_mode,peer_mtu,local_port_range_1,local_port_range_2,local_port_range_3,local_port_range_4,local_port_range_5,local_port_range_6,local_port_range_7,local_port_range_8,MaxInboundStreams,MaxOutboundStreams
ssi-cuba-mme01,aaa://cuba-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.250,0,false,1,false,true,1500,,,,,,,,,,
Persistent-MME,aaa://mme1.pti.com;transport=sctp,pti.com,38.87.34.201,,false,1,false,true,1500,,,,,,,,,,
STTDSC1,aaa://sttdsc1.epc.mnc040.mcc311.3gppnetwork.org;transport=sctp,epc.mnc040.mcc311.3gppnetwork.org,"66.185.32.210,66.185.32.211",,false,1,false,true,1500,,,,,,,,,,
FreedomMobile-tornkdra21-DRA,aaa://tornkdra21.epc.mnc490.mcc302.3gppnetwork.org:3868;transport=sctp,epc.mnc490.mcc302.3gppnetwork.org,"199.7.157.172,199.7.157.180",,false,1,false,true,1500,,,,,,,,,,
FreedomMobile-vannkdra31-DRA,aaa://vannkdra31.epc.mnc490.mcc302.3gppnetwork.org:3868;transport=sctp,epc.mnc490.mcc302.3gppnetwork.org,"199.7.159.172,199.7.159.180",,false,1,false,true,1500,,,,,,,,,,
Commnet-Wireless-dra3-vegas,aaa://vegasdra.commnetwireless.com;transport=sctp,commnetwireless.com,69.160.183.226,,false,1,false,true,1500,,,,,,,,,,
Claro-PR-Caparra,aaa://dsrcap.epc.mnc110.mcc330.3gppnetwork.org:3868;transport=sctp,epc.mnc110.mcc330.3gppnetwork.org,67.224.250.214,,true,1,false,true,1500,17164,,,,,,,,8,8
Claro-PR-Santurce,aaa://dsrsan.epc.mnc110.mcc330.3gppnetwork.org:3868;transport=sctp,epc.mnc110.mcc330.3gppnetwork.org,67.224.250.230,,true,1,false,true,1500,17165,,,,,,,,8,8
bragg-wddsc01,aaa://wddsc01.epc.mnc270.mcc302.3gppnetwork.org;transport=sctp,epc.mnc270.mcc302.3gppnetwork.org,"173.237.127.1,173.237.127.2",,false,1,false,true,1500,,,,,,,,,,
bragg-ppdsc01,aaa://ppdsc01.epc.mnc270.mcc302.3gppnetwork.org;transport=sctp,epc.mnc270.mcc302.3gppnetwork.org,"100.42.251.129,100.42.251.130",,false,1,false,true,1500,,,,,,,,,,
Claro-PR-Caparra-vh,aaa://vh-dsrcap.epc.mnc110.mcc330.3gppnetwork.org:3868;transport=sctp,epc.mnc110.mcc330.3gppnetwork.org,67.224.250.215,,true,1,false,true,1500,17166,,,,,,,,8,8
Claro-PR-Santurce-vh,aaa://vh-dsrsan.epc.mnc110.mcc330.3gppnetwork.org:3868;transport=sctp,epc.mnc110.mcc330.3gppnetwork.org,67.224.250.231,,true,1,false,true,1500,17167,,,,,,,,8,8
ssi-gslt-knta-lte-hss-II,aaa://vh-gslt-knta-lte-hss.epc.mnc480.mcc302.3gppnetwork.org:3868;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.29,0,true,1,false,true,1500,17168,,,,,,,,65535,65535
Oi-Brazil-ACS-DEA,aaa://dea06acs.dea.mnc031.mcc724.3gppnetwork.org;transport=sctp,dea.mnc031.mcc724.3gppnetwork.org,"200.223.43.186,200.223.43.194",,false,1,true,true,1500,,,,,,,,,,
Oi-Brazil-CID-DEA,aaa://dea07cid.dea.mnc031.mcc724.3gppnetwork.org;transport=sctp,dea.mnc031.mcc724.3gppnetwork.org,"200.223.43.202,200.223.43.210",,false,1,true,true,1500,,,,,,,,,,
Claro-Dominicana-viresps00,aaa://viresps00.epc.mnc002.mcc370.3gppnetwork.org;transport=sctp,epc.mnc002.mcc370.3gppnetwork.org,"64.32.94.44,64.32.94.45",,false,1,false,true,1500,,,,,,,,,,
claro-dominicana-drtesps00,aaa://drtesps00.epc.mnc002.mcc370.3gppnetwork.org;transport=sctp,epc.mnc002.mcc370.3gppnetwork.org,"64.32.114.76,64.32.114.77",,false,1,false,true,1500,,,,,,,,,,
Sasktel-regn-dea01,aaa://regn.dea01.epc.mnc780.mcc302.3gppnetwork.org;transport=sctp,epc.mnc780.mcc302.3gppnetwork.org,"74.113.15.4,74.113.15.12",,false,1,false,true,1500,,,,,,,,,,
Sasktel-sktn-dea01,aaa://sktn.dea01.epc.mnc780.mcc302.3gppnetwork.org;transport=sctp,epc.mnc780.mcc302.3gppnetwork.org,"74.113.15.20,74.113.15.28",,false,1,false,true,1500,,,,,,,,,,
Xplornet-mtdra01dir01,aaa://mtdea01.epc.mnc130.mcc302.3gppnetwork.org;transport=sctp,epc.mnc130.mcc302.3gppnetwork.org,"72.45.64.52,72.45.64.60",,false,1,true,true,1500,,,,,,,,,,
Xplornet-mtdra01dir02,aaa://mtdea02.epc.mnc130.mcc302.3gppnetwork.org;transport=sctp,epc.mnc130.mcc302.3gppnetwork.org,"72.45.64.53,72.45.64.61",,false,1,true,true,1500,,,,,,,,,,
NIF-nf1.ch3,aaa://mdw01p-gen-vas-nf1.ch3.syniverse.com;transport=sctp,nf1.syniverse.com,10.11.41.101,,false,1,true,true,1500,,,,,,,,,,
NIF-nf1.da3,aaa://dal01p-gen-vas-nf1.da3.syniverse.com;transport=sctp,nf1.syniverse.com,10.12.41.101,,false,1,true,true,1500,,,,,,,,,,
WMS-BPT-MME02,aaa://wmsbptmme02.epc.mnc018.mcc901.3gppnetwork.org;transport=sctp,epc.mnc018.mcc901.3gppnetwork.org,"135.211.86.26,135.211.86.27",0,false,1,false,true,1500,,,,,,,,,,
WMS-BPT-MME01,aaa://wmsbptmme01.epc.mnc018.mcc901.3gppnetwork.org;transport=sctp,epc.mnc018.mcc901.3gppnetwork.org,"135.211.86.18,135.211.86.19",0,false,1,false,true,1500,,,,,,,,,,
