display_name,name,realm,remote_ip,remote_pip,attempt_connect,maxActive,disabled,peer_test_mode,peer_mtu,local_port_range_1,local_port_range_2,local_port_range_3,local_port_range_4,local_port_range_5,local_port_range_6,local_port_range_7,local_port_range_8,MaxInboundStreams,MaxOutboundStreams
Truphone-pel-DEA,aaa://peldnsdc.epc.mnc025.mcc234.3gppnetwork.org:3868;transport=sctp,epc.mnc025.mcc234.3gppnetwork.org,"194.88.242.226,194.88.242.227",,true,1,false,false,1500,17111,,,,,,,,1,1
Lyca_EQDRA1,aaa://dra01.epc.mnc026.mcc234.3gppnetwork.org:3872;transport=sctp,epc.mnc026.mcc234.3gppnetwork.org,"83.137.4.193,83.137.4.201",,true,1,false,false,1500,17131,,,,,,,,32,32
Lyca_EQDRA2,aaa://dra02.epc.mnc026.mcc234.3gppnetwork.org:3872;transport=sctp,epc.mnc026.mcc234.3gppnetwork.org,"83.137.4.209,83.137.4.217",,true,1,false,false,1500,17133,,,,,,,,32,32
Lyca_EQDRA3,aaa://dra03.epc.mnc026.mcc234.3gppnetwork.org:3872;transport=sctp,epc.mnc026.mcc234.3gppnetwork.org,"83.137.4.194,83.137.4.202",,true,1,false,false,1500,17132,,,,,,,,32,32
Lyca_EQDRA4,aaa://dra04.epc.mnc026.mcc234.3gppnetwork.org:3872;transport=sctp,epc.mnc026.mcc234.3gppnetwork.org,"83.137.4.210,83.137.4.218",,true,1,false,false,1500,17134,,,,,,,,32,32
LycaUK-test-HSS,aaa://hssuk01.epc.mnc026.mcc234.3gppnetwork.org:3868;transport=sctp,epc.mnc026.mcc234.3gppnetwork.org,83.137.0.50,10.89.2.22,true,1,true,true,1200,17140,,,,,,,,32,32
nodea.hssuk01,aaa://nodea.hssuk01.epc.mnc026.mcc234.3gppnetwork.org:3868;transport=sctp,epc.mnc026.mcc234.3gppnetwork.org,"83.137.4.225,83.137.4.233",,true,1,false,false,1200,17105,,,,,,,,32,32
nodeb.hssuk01,aaa://nodeb.hssuk01.epc.mnc026.mcc234.3gppnetwork.org:3868;transport=sctp,epc.mnc026.mcc234.3gppnetwork.org,"83.137.4.226,83.137.4.234",,true,1,false,false,1200,17106,,,,,,,,32,32
Tele2-avk6-dea,aaa://avk6-dea-1a.mnc007.mcc240.3gppnetwork.org:3868;transport=sctp,mnc007.mcc240.3gppnetwork.org,"193.216.123.128,193.216.123.129",,false,1,false,false,1500,,,,,,,,,,
Tele2-hgd-dea,aaa://hgd-dea-1a.mnc007.mcc240.3gppnetwork.org:3868;transport=sctp,mnc007.mcc240.3gppnetwork.org,"193.216.123.130,193.216.123.131",,false,1,false,false,1500,,,,,,,,,,
ICE_Osl3_DEA,aaa://osl3dsc1.epc.mnc014.mcc242.3gppnetwork.org:3868;transport=sctp,epc.mnc014.mcc242.3gppnetwork.org,"185.83.167.36,185.83.167.52",,true,1,false,true,1500,17122,,,,,,,,5,5
ICE_Osl4_DEA,aaa://osl4dsc1.epc.mnc014.mcc242.3gppnetwork.org:3868;transport=sctp,epc.mnc014.mcc242.3gppnetwork.org,"185.83.167.100,185.83.167.116",,true,1,false,true,1500,17123,,,,,,,,5,5
